$SR_Title	魔法研究体验
$SR_Title_MCM	魔法研究界面

$SR_Exit_Button	退出
$SR_Filter_Text	过滤

$SR_Controls_Page	控制
$SR_OpenSpellExperience_Header	打开对话历史
$SR_OpenSpellExperience_Gamepad_Header	打开对话历史（游戏手柄）
$SR_PrimaryKey_Text	主要键
$SR_ModifierKey_Text	修饰键
$SR_ControllerButtonScheme_Text	按钮方案
$SR_AUTODETECT	自动检测
$SR_XBOX	微软XBOX
$SR_PLAYSTATION	索尼PlayStation

$SR_SettingsPage	设置
$SR_SpellExperience_Header	对话历史
$SR_UnpauseMenu_Text	取消暂停菜单
$SR_UnpauseMenu_Help	取消暂停菜单
$SR_BlurMenu_Text	模糊菜单
$SR_BlurMenu_Help	模糊菜单背景

$SR_Novice	初学者体验
$SR_Apprentice	学徒体验
$SR_Adept	熟练者体验
$SR_Expert	专家体验
$SR_Master	大师体验

$SR_Archetype0	专注施法
$SR_Archetype1	快速施法
$SR_Archetype2	酸
$SR_Archetype3	空气
$SR_Archetype4	显现
$SR_Archetype5	奥术能量
$SR_Archetype6	护甲
$SR_Archetype7	魔法构造
$SR_Archetype8	生物
$SR_Archetype9	邪灵
$SR_Archetype10	疾病
$SR_Archetype11	大地
$SR_Archetype12	火焰
$SR_Archetype13	血肉
$SR_Archetype14	魔法力量
$SR_Archetype15	寒霜
$SR_Archetype16	健康
$SR_Archetype17	凡人
$SR_Archetype18	生命
$SR_Archetype19	光明
$SR_Archetype20	魔力
$SR_Archetype21	金属
$SR_Archetype22	自然
$SR_Archetype23	毒药
$SR_Archetype24	抗性
$SR_Archetype25	阴影
$SR_Archetype26	护盾
$SR_Archetype27	电击
$SR_Archetype28	灵魂
$SR_Archetype29	体力
$SR_Archetype30	太阳
$SR_Archetype31	时间
$SR_Archetype32	魔法陷阱
$SR_Archetype33	亡灵
$SR_Archetype34	水
$SR_Archetype35	武器
$SR_Archetype36	变化系法术
$SR_Archetype37	召唤系法术
$SR_Archetype38	毁灭系法术
$SR_Archetype39	幻术系法术
$SR_Archetype40	恢复系法术
$SR_Archetype41	目标定位
$SR_Archetype42	区域定位
$SR_Archetype43	位置定位
$SR_Archetype44	自我定位
$SR_Archetype45	隐形技巧
$SR_Archetype46	控制技巧
$SR_Archetype47	勇气技巧
$SR_Archetype48	治疗技巧
$SR_Archetype49	诅咒技巧
$SR_Archetype50	恐惧技巧
$SR_Archetype51	狂怒技巧
$SR_Archetype52	灌注技巧
$SR_Archetype53	安抚技巧
$SR_Archetype54	感知技巧
$SR_Archetype55	汲取技巧
$SR_Archetype56	强化技巧
$SR_Archetype57	召唤技巧
$SR_Archetype58	念力技巧
$SR_Archetype59	变形技巧
